feature_fraction,min_child_samples,num_leaves,fold,n_train,n_valid,best_iteration,pr_auc
0.5,50,63,0,68896,68896,1042,0.5644812775893859
0.5,50,63,1,137792,68897,236,0.567304981979138
0.5,50,63,2,206689,68896,485,0.6154361297010947
0.5,50,63,3,275585,68896,437,0.5608841752938226
0.5,50,63,4,344481,68897,980,0.6149982306527256
0.5,50,255,0,68896,68896,740,0.5626357191793453
0.5,50,255,1,137792,68897,615,0.5931032628828842
0.5,50,255,2,206689,68896,1832,0.6298386675846435
0.5,50,255,3,275585,68896,1681,0.592142882005892
0.5,50,255,4,344481,68897,1301,0.634845604982707
0.5,200,63,0,68896,68896,1475,0.5620041934639933
0.5,200,63,1,137792,68897,209,0.5782746518197568
0.5,200,63,2,206689,68896,402,0.61212710454105
0.5,200,63,3,275585,68896,409,0.5573454603855552
0.5,200,63,4,344481,68897,625,0.6095540604543802
0.5,200,255,0,68896,68896,1405,0.5638984973183083
0.5,200,255,1,137792,68897,136,0.5837646606826398
0.5,200,255,2,206689,68896,257,0.6264913796770367
0.5,200,255,3,275585,68896,1439,0.5879871548191176
0.5,200,255,4,344481,68897,1472,0.6322046704063402
