column,reason
D1n,quasi-identifier (implied account-open day); used only inside uid
TransactionDT,ordering index; raw value encodes position in time and would not generalise
TransactionID,row identifier
V1,outside top 35 by univariate |AUC-0.5| (feature cap)
V10,outside top 35 by univariate |AUC-0.5| (feature cap)
V100,outside top 35 by univariate |AUC-0.5| (feature cap)
V101,outside top 35 by univariate |AUC-0.5| (feature cap)
V102,outside top 35 by univariate |AUC-0.5| (feature cap)
V103,outside top 35 by univariate |AUC-0.5| (feature cap)
V104,outside top 35 by univariate |AUC-0.5| (feature cap)
V105,outside top 35 by univariate |AUC-0.5| (feature cap)
V106,outside top 35 by univariate |AUC-0.5| (feature cap)
V107,outside top 35 by univariate |AUC-0.5| (feature cap)
V108,outside top 35 by univariate |AUC-0.5| (feature cap)
V109,outside top 35 by univariate |AUC-0.5| (feature cap)
V11,|corr| > 0.9 with V10 (same NaN group)
V110,outside top 35 by univariate |AUC-0.5| (feature cap)
V111,outside top 35 by univariate |AUC-0.5| (feature cap)
V112,outside top 35 by univariate |AUC-0.5| (feature cap)
V113,|corr| > 0.9 with V111 (same NaN group)
V114,outside top 35 by univariate |AUC-0.5| (feature cap)
V115,outside top 35 by univariate |AUC-0.5| (feature cap)
V116,outside top 35 by univariate |AUC-0.5| (feature cap)
V117,outside top 35 by univariate |AUC-0.5| (feature cap)
V118,outside top 35 by univariate |AUC-0.5| (feature cap)
V119,outside top 35 by univariate |AUC-0.5| (feature cap)
V12,outside top 35 by univariate |AUC-0.5| (feature cap)
V120,outside top 35 by univariate |AUC-0.5| (feature cap)
V121,outside top 35 by univariate |AUC-0.5| (feature cap)
V122,outside top 35 by univariate |AUC-0.5| (feature cap)
V123,outside top 35 by univariate |AUC-0.5| (feature cap)
V124,outside top 35 by univariate |AUC-0.5| (feature cap)
V125,outside top 35 by univariate |AUC-0.5| (feature cap)
V126,outside top 35 by univariate |AUC-0.5| (feature cap)
V127,outside top 35 by univariate |AUC-0.5| (feature cap)
V128,outside top 35 by univariate |AUC-0.5| (feature cap)
V129,outside top 35 by univariate |AUC-0.5| (feature cap)
V13,|corr| > 0.9 with V12 (same NaN group)
V130,outside top 35 by univariate |AUC-0.5| (feature cap)
V131,outside top 35 by univariate |AUC-0.5| (feature cap)
V132,outside top 35 by univariate |AUC-0.5| (feature cap)
V133,outside top 35 by univariate |AUC-0.5| (feature cap)
V134,outside top 35 by univariate |AUC-0.5| (feature cap)
V135,outside top 35 by univariate |AUC-0.5| (feature cap)
V136,outside top 35 by univariate |AUC-0.5| (feature cap)
V137,|corr| > 0.9 with V135 (same NaN group)
V138,outside top 35 by univariate |AUC-0.5| (feature cap)
V139,outside top 35 by univariate |AUC-0.5| (feature cap)
V14,outside top 35 by univariate |AUC-0.5| (feature cap)
V140,|corr| > 0.9 with V139 (same NaN group)
V141,outside top 35 by univariate |AUC-0.5| (feature cap)
V142,outside top 35 by univariate |AUC-0.5| (feature cap)
V143,outside top 35 by univariate |AUC-0.5| (feature cap)
V144,|corr| > 0.9 with V143 (same NaN group)
V145,outside top 35 by univariate |AUC-0.5| (feature cap)
V146,outside top 35 by univariate |AUC-0.5| (feature cap)
V147,|corr| > 0.9 with V146 (same NaN group)
V148,outside top 35 by univariate |AUC-0.5| (feature cap)
V149,|corr| > 0.9 with V148 (same NaN group)
V15,outside top 35 by univariate |AUC-0.5| (feature cap)
V150,|corr| > 0.9 with V143 (same NaN group)
V151,|corr| > 0.9 with V143 (same NaN group)
V152,|corr| > 0.9 with V145 (same NaN group)
V153,|corr| > 0.9 with V148 (same NaN group)
V154,|corr| > 0.9 with V148 (same NaN group)
V155,|corr| > 0.9 with V148 (same NaN group)
V156,|corr| > 0.9 with V148 (same NaN group)
V157,outside top 35 by univariate |AUC-0.5| (feature cap)
V158,|corr| > 0.9 with V157 (same NaN group)
V159,|corr| > 0.9 with V143 (same NaN group)
V16,|corr| > 0.9 with V15 (same NaN group)
V160,|corr| > 0.9 with V145 (same NaN group)
V161,outside top 35 by univariate |AUC-0.5| (feature cap)
V162,outside top 35 by univariate |AUC-0.5| (feature cap)
V163,|corr| > 0.9 with V161 (same NaN group)
V164,outside top 35 by univariate |AUC-0.5| (feature cap)
V165,|corr| > 0.9 with V143 (same NaN group)
