feature,gain,gain_share,family
V258,70567.50312169641,0.06325982102350065,vesta
C13,42429.33953233436,0.03803553060864325,raw
C1,41635.45965158194,0.03732386168245285,raw
D2,32150.704081192613,0.0288213086191859,raw
card2,31883.150121401995,0.028581461453539486,raw
card1,30532.81724603474,0.027370963529720807,raw
vel_card1_tenure_days,29405.567726593465,0.026360447361595856,velocity
V257,28235.999409306794,0.025311994757304068,vesta
TransactionAmt,28017.191341131926,0.025115845558042058,raw
addr1,27126.08953934163,0.024317022615451055,raw
te_addr1,24935.11229043454,0.022352934012324462,entity_risk
C14,24243.308347728103,0.021732770457387716,raw
D15,23041.147186536342,0.020655100190845252,raw
C5,20107.795590870082,0.018025514493008724,raw
vel_card1_prior_cnt,18813.865104120225,0.016865578157051263,velocity
vel_card1_amt_vs_mean_7d,18375.554024439305,0.016472656780686067,velocity
C11,18048.585675552487,0.01617954793715423,raw
D3,17730.55784578994,0.015894453769140716,raw
DeviceInfo,16308.002379935235,0.014619212331013327,raw
te_P_emaildomain,16280.902530733496,0.014594918831393404,entity_risk
lnk_addr1_per_card,16252.04922920093,0.014569053459796798,linkage
vel_card1_cnt_7d,15884.451857995242,0.014239522969380006,velocity
D10,14902.75525952503,0.013359486856843792,raw
lnk_remails_per_card,14609.955826506019,0.013097008535956875,linkage
D1,14501.625164330006,0.012999896154230774,raw
vel_card1_amt_7d,14470.51222474128,0.01297200514345626,velocity
lnk_pemails_per_card,13831.674409832805,0.012399322760682126,linkage
D4,13014.730965461582,0.011666978639222676,raw
dist1,12912.205778472126,0.011575070541409308,raw
C2,12642.741448882967,0.011333510836049877,raw
id_31,11694.507646858692,0.01048347224957697,raw
P_emaildomain,11573.006229501218,0.010374553022225532,raw
card5,11527.215977460146,0.010333504621465995,raw
te_R_emaildomain,11228.525291070342,0.010065745121320155,entity_risk
vel_card1_secs_since_prev,11048.895052015781,0.009904716655378776,velocity
C8,10888.202447891235,0.009760664720323225,raw
amt_cents,10677.658419661224,0.009571923770818063,raw
vel_card1_amt_24h,10629.690504599363,0.009528923216916493,velocity
M5,9646.442617256194,0.008647496460640343,raw
vel_uid_tenure_days,9338.925916984677,0.008371824932523989,velocity
vel_uid_amt_vs_mean_7d,9239.198510505259,0.008282424888510156,velocity
V246,9137.282719373703,0.008191063080011246,vesta
C12,9121.428533956409,0.008176850689213715,raw
C6,9096.3125112392,0.008154335579118738,raw
vel_uid_secs_since_prev,9068.937417741865,0.008129795338377094,velocity
lnk_cards_per_deviceinfo,9066.36335042119,0.008127487830943716,linkage
hour_proxy,8735.069513067603,0.007830501428845366,raw
D8,8671.333737075329,0.007773365869222234,raw
lnk_cards_per_device_fp,8548.984626732767,0.007663686732505331,linkage
C9,8399.187033593655,0.007529401565643336,raw
C4,8346.290104720742,0.0074819824264480235,raw
vel_card1_cnt_24h,7840.331838812679,0.007028419129876403,velocity
vel_uid_amt_7d,7809.881286032498,0.0070011219118408016,velocity
id_33,7792.842631354928,0.006985847710576722,raw
R_emaildomain,7710.462315693498,0.00691199836358177,raw
card6,7679.5324329435825,0.006884271453028293,raw
te_ProductCD,7595.796850554645,0.006809207185186936,entity_risk
lnk_cards_per_id30,7575.853930834681,0.0067913294726937605,linkage
D11,7452.230427172035,0.006680507913618467,raw
lnk_cards_per_id31,7265.919223900884,0.006513490336798714,linkage
D5,6749.422035228461,0.006050479485214353,raw
id_02,6283.730900511146,0.005633013420365152,raw
id_20,5946.502567015588,0.005330707074281279,raw
card3,5263.437004636973,0.004718376988733691,raw
vel_uid_cnt_7d,5198.272534586489,0.004659960684767603,velocity
id_19,5185.115677900612,0.004648166298366471,raw
M6,5136.2233209759,0.004604337034021655,raw
id_30,4422.516963034868,0.003964539188420925,raw
vel_card1_amt_1h,4139.813253995031,0.0037111111196156763,velocity
vel_uid_prior_cnt,3791.138959106058,0.003398544109101879,velocity
vel_uid_amt_24h,3670.2792430073023,0.00329020013105049,velocity
dist2,3565.486948058009,0.0031962596977082197,raw
V189,3390.973919440061,0.003039818524813068,vesta
id_17,3163.654604449868,0.002836039468656509,raw
id_05,3120.261529456824,0.0027971400030911,raw
M4,3093.0437197498977,0.0027727407584736082,raw
D6,2836.284756164998,0.0025425707033626967,raw
id_06,2792.449925839901,0.0025032752288412442,raw
addr2,2789.449625648558,0.0025005856274705708,raw
V187,2771.0263293012977,0.0024840701723668136,vesta
V232,2721.2895293086767,0.002439483912025579,vesta
id_01,2479.1387005597353,0.0022224092330344124,raw
D12,2245.4310576990247,0.0020129033981220357,raw
id_13,2213.2594319730997,0.0019840633344181046,raw
D14,2211.290695924312,0.0019822984726250775,raw
M3,2008.4792746789753,0.0018004893729411013,raw
C10,1874.0542583093047,0.0016799848616512298,raw
D13,1821.9874696806073,0.001633309896770587,raw
M9,1786.2182465940714,0.001601244788179431,raw
