feature,family,categorical
TransactionAmt,raw,False
card1,raw,False
card2,raw,False
card3,raw,False
card5,raw,False
addr1,raw,False
addr2,raw,False
dist1,raw,False
dist2,raw,False
C1,raw,False
C2,raw,False
C3,raw,False
C4,raw,False
C5,raw,False
C6,raw,False
C7,raw,False
C8,raw,False
C9,raw,False
C10,raw,False
C11,raw,False
C12,raw,False
C13,raw,False
C14,raw,False
D1,raw,False
D2,raw,False
D3,raw,False
D4,raw,False
D5,raw,False
D6,raw,False
D7,raw,False
D8,raw,False
D9,raw,False
D10,raw,False
D11,raw,False
D12,raw,False
D13,raw,False
D14,raw,False
D15,raw,False
id_01,raw,False
id_02,raw,False
id_03,raw,False
id_05,raw,False
id_06,raw,False
id_09,raw,False
id_11,raw,False
id_13,raw,False
id_14,raw,False
id_17,raw,False
id_19,raw,False
id_20,raw,False
id_32,raw,False
ProductCD,raw,True
card4,raw,True
card6,raw,True
P_emaildomain,raw,True
R_emaildomain,raw,True
M1,raw,True
M2,raw,True
M3,raw,True
M4,raw,True
M5,raw,True
M6,raw,True
M7,raw,True
M8,raw,True
M9,raw,True
DeviceType,raw,True
DeviceInfo,raw,True
id_12,raw,True
id_15,raw,True
id_16,raw,True
id_28,raw,True
id_29,raw,True
id_30,raw,True
id_31,raw,True
id_33,raw,True
id_34,raw,True
id_35,raw,True
id_36,raw,True
id_37,raw,True
id_38,raw,True
amt_cents,raw,False
hour_proxy,raw,False
V167,vesta,False
V168,vesta,False
V170,vesta,False
V177,vesta,False
V180,vesta,False
V181,vesta,False
V183,vesta,False
V184,vesta,False
V187,vesta,False
V188,vesta,False
V189,vesta,False
V190,vesta,False
V195,vesta,False
V200,vesta,False
V202,vesta,False
V211,vesta,False
V214,vesta,False
V215,vesta,False
V216,vesta,False
V217,vesta,False
V218,vesta,False
V219,vesta,False
V221,vesta,False
V228,vesta,False
V232,vesta,False
V234,vesta,False
V242,vesta,False
V246,vesta,False
V257,vesta,False
V258,vesta,False
V263,vesta,False
V265,vesta,False
V273,vesta,False
V275,vesta,False
V303,vesta,False
vel_card1_cnt_1h,velocity,False
vel_card1_amt_1h,velocity,False
vel_card1_cnt_24h,velocity,False
vel_card1_amt_24h,velocity,False
vel_card1_cnt_7d,velocity,False
vel_card1_amt_7d,velocity,False
vel_card1_secs_since_prev,velocity,False
vel_card1_prior_cnt,velocity,False
vel_card1_tenure_days,velocity,False
vel_card1_amt_vs_mean_7d,velocity,False
vel_uid_cnt_1h,velocity,False
vel_uid_amt_1h,velocity,False
vel_uid_cnt_24h,velocity,False
vel_uid_amt_24h,velocity,False
vel_uid_cnt_7d,velocity,False
vel_uid_amt_7d,velocity,False
vel_uid_secs_since_prev,velocity,False
vel_uid_prior_cnt,velocity,False
vel_uid_tenure_days,velocity,False
vel_uid_amt_vs_mean_7d,velocity,False
te_ProductCD,entity_risk,False
te_addr1,entity_risk,False
te_P_emaildomain,entity_risk,False
te_R_emaildomain,entity_risk,False
lnk_cards_per_deviceinfo,linkage,False
lnk_cards_per_id30,linkage,False
lnk_cards_per_id31,linkage,False
lnk_cards_per_device_fp,linkage,False
lnk_pemails_per_card,linkage,False
lnk_remails_per_card,linkage,False
lnk_addr1_per_card,linkage,False
